E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
1400000 0.27132 0 0.34500 0 0.32600 0 0.05701 0 0.00054 0 0.00011 0 0.00002 0 0 0 0
1450000 0.26650 0 0.34135 0 0.33150 0 0.05991 0 0.00060 0 0.00012 0 0.00002 0 0 0 0
1500000 0.26178 0 0.33753 0 0.33670 0 0.06316 0 0.00067 0 0.00013 0 0.00002 0 0 0 0
1600000 0.25300 0 0.33050 0 0.34620 0 0.06932 0 0.00080 0 0.00015 0 0.00003 0 0 0 0
1700000 0.24462 0 0.32393 0 0.35402 0 0.07619 0 0.00103 0 0.00018 0 0.00003 0 0 0 0
1800000 0.23712 0 0.31763 0 0.36025 0 0.08280 0 0.00195 0 0.00021 0 0.00004 0 0 0 0
1900000 0.22975 0 0.31166 0 0.36538 0 0.08893 0 0.00398 0 0.00024 0 0.00005 0 0.00001 0 0
2000000 0.22312 0 0.30582 0 0.36955 0 0.09480 0 0.00636 0 0.00028 0 0.00006 0 0.00001 0 0
2250000 0.20989 0 0.29279 0 0.37525 0 0.10892 0 0.01250 0 0.00050 0 0.00013 0 0.00002 0 0
2500000 0.19843 0 0.28139 0 0.37810 0 0.12218 0 0.01810 0 0.00137 0 0.00037 0 0.00006 0 0
2750000 0.18855 0 0.27070 0 0.37850 0 0.13431 0 0.02364 0 0.00343 0 0.00073 0 0.00013 0 0
3000000 0.18010 0 0.26137 0 0.37688 0 0.14591 0 0.02902 0 0.00530 0 0.00112 0 0.00029 0 0.00001
3250000 0.17248 0 0.25353 0 0.37341 0 0.15679 0 0.03465 0 0.00712 0 0.00147 0 0.00053 0 0.00002
3500000 0.16625 0 0.24675 0 0.36891 0 0.16660 0 0.03990 0 0.00876 0 0.00187 0 0.00093 0 0.00003
3750000 0.16065 0 0.24105 0 0.36438 0 0.17531 0 0.04470 0 0.01022 0 0.00228 0 0.00137 0 0.00004
